msg,Class,notice,vaccine,route,infected,disaster,missing
"[광주시청] 7월 21일 17시 기준 확진자 9명 발생.
 기침, 발열 등 의심 증상 발현 시 가까운 선별진료소에서 검사받으세요.",3,0,0,0,1,0,0
"[양산시청] 7. 21.(수) 17시 기준, 코로나19 확진자 8명 발생(접촉자 4명, 증상발생 검사 4명, 본인희망 검사 1명)",3,0,0,0,1,0,0
[안동시청]67~71년생 예방접종 사전 예약 안내▲7/21(수)20시~7/24(토)18시▲인터넷 https://ncvr.kdca.go.kr ▲전국콜센터 1339,1,0,1,0,0,0,0
"[강릉시청]7.16(금)11:00~13:00 성산면옥(성덕포남로80-19) 이용자는 보건소(9~18시), 유천동주차장·중앙고후문(16~20시)에서 검사바랍니다",2,0,0,1,0,0,0
"[동래구] 50대(62~71년) 코로나19접종 예약(7.21.20시~7.24.18시)/온라인(ncvr.kdca.go.kr)/콜센터(550-4961, 9시~18시)",1,0,1,0,0,0,0
"[대전경찰청] 신탄진지역에서 실종된 배민준씨(남, 55세)를 찾습니다 - 165cm, 70kg, 검정상의, 검정바지, 샌들
 vo.la/rj2or / ☎182",5,0,0,0,0,0,1
"[남동구청] 7/19, 7/20 15:30~21:35 메가커피 인천논현에코점(논현동 746-4) 방문자는 거주지 보건소, 임시선별진료소에서 코로나 검사 바람.",2,0,0,1,0,0,0
[예천군청]타지역확진자 관련 7.16.(금)12:10~12:50 회룡포순대(예천군 용궁면 용궁로 76-1) 방문하신분은 가까운 선별진료소에서 검사받으시기 바랍니다,2,0,0,1,0,0,0
"[전주시청] 35도 이상의 폭염이 지속되고 있습니다. 외출자제, 물 마시기, 실외작업장 폭염 안전수칙 준수, 무더위쉼터 이용 등 개인안전에 유의 바랍니다.",4,0,0,0,0,1,0
"[광명시청] 7월21일 12시 기준 확진자 11명 발생(확진자접촉5, 조사중6) 세부내용은 블로그 참조 바랍니다. blog.naver.com/gmcityhall",3,0,0,0,1,0,0
"[부천시청] 폭염대비 선별진료소, 임시선별검사소 운영시간 변경(7.21~8.13) 안내
 평일 09:30~12:00, 14:00~17:30 (점심시간 12~14시)",0,1,0,0,0,0,0
"[진주시청] 20일 15시 이후 확진자 1명(무료선제검사), 21일 15시 기준 확진자 7명(자가격리 중 6명, 타지역 확진자의 접촉자 1명)발생.",3,0,0,0,1,0,0
"[행정안전부] 오늘 16시00분 폭염경보, 최고 35도 이상, 야외활동 자제, 충분한 물마시기 등 건강에 유의바랍니다",4,0,0,0,0,1,0
[진도군청]최고기온 33도 이상의 폭염이 지속됨에 따라 온열질환 예방을 위해 수분을 충분히 섭취하고 불필요한 야외활동이나 외출은 자제하시기 바랍니다.,4,0,0,0,0,1,0
"[괴산군청] 7월21일 확진자 1명(괴산 107번, 타지역거주자)발생. 자세한 사항은 역학 조사후 홈페이지 게시 예정입니다.",3,0,0,0,1,0,0
[부산시]7.15(목)~7.16(금) NC백화점2층 무자크매장(금정구 부산대학로63번길2)방문자는인근보건소에서 코로나19진단검사를 받으시기바랍니다.(소독완료),2,0,0,1,0,0,0
[무주군청] 코로나19예방접종 사전예약(69~71년생)/예약기간 7.21.(수)18시까지/접종기간 8.16.~8.28./ http://ncvr.kdca.go.kr,1,0,1,0,0,0,0
"[전남경찰청] 목포시에서 실종된 김유순씨(여, 66세)를 찾고 있습니다 - 156cm, 50kg, 흰색상의, 꽃무늬핸드백
 vo.la/GDUyb / ☎182",5,0,0,0,0,0,1
[의왕시청] 7월21일 15:00 기준 코로나19 확진자 5명 발생. 자세한 사항은 시홈페이지 및 SNS 참고 바랍니다. pf.kakao.com/_xdPSRK,3,0,0,0,1,0,0
[안양시청] 7.21.(수) 13:30 기준 코로나19 신규확진자 35명 발생. url.kr/dm9rzh 의심증상 발현시 가까운 선별진료소에서 검사 받으세요.,3,0,0,0,1,0,0
"[함양군청]67~71년생 백신(모더나)접종예약▲7.21일 20:00~7.24일 18:00▲온라인(ncvr.kdca.go.kr)예약, 콜센터(960-5866~70)",1,0,1,0,0,0,0
"[순창군청] 50~54세(67~71년)는 코로나19 예방접종 예약이 가능합니다. http://ncvr.kdca.go.kr 063-650-5994,5995",1,0,1,0,0,0,0
[남원시청]전라북도 긴급재난지원금 카드 사용기한은 9.30까지 신청기한은 8.6까지입니다. 현재까지 미수령하신 분은 주소지 읍면동 행정복지센터 방문 수령바랍니다.,0,1,0,0,0,0,0
"[중랑구청] 폭염이 지속됨에 따라 7. 21.(수) 15~16시 중랑구 임시선별검사소(면목역 광장, 망우역 광장) 운영이 중단됨을 안내드립니다.",4,0,0,0,0,1,0
[여수시청] 숙박시설 객실내 정원기준 초과금지/종교시설 전체 수용인원의 20%(좌석 네 칸 띄우기)/결혼ㆍ장례식 4㎡당 1명(최대 50인 미만)/기타 홈페이지참조,0,1,0,0,0,0,0
"[여수시청]<사회적거리두기 개편안 3단계격상 안내>▲7.22(목) 0시~7월28(수) 24시까지▲사적모임 4명까지/ 유흥5종,식당,카페,노래연습장 22시까지 영업",0,1,0,0,0,0,0
[양양군청] 7.17(토) 축협마트(양양읍 양양로 49) 방문자는 양양군보건소 앞 부스에서 검사바랍니다. (14:00부터 16:00까지 운영),2,0,0,1,0,0,0
"[함안군청] 7월 21일 확진자 10명(함안81~90, 확진자의 밀접접촉자로 자가격리중) 발생, 마스크착용 등 방역수칙 준수 바랍니다.",3,0,0,0,1,0,0
"[시흥시청] 7월21일 13시기준 확진자19명 발생(확진자접촉6,자가격리중9,경로조사중4) blog.naver.com/siheungblog/222439578647",3,0,0,0,1,0,0
"[군포시청] 7월 21일 14시 기준 전일 대비 확진자 8명 발생, 상세내용은 군포시 홈페이지, SNS 등 참조바랍니다. pf.kakao.com/_eDSsxb",3,0,0,0,1,0,0
[거제시청] 코로나19 확진자 4명(거제618~621번)발생. 아래 링크 참고바랍니다. http://pf.kakao.com/_gigJxb/82127977,3,0,0,0,1,0,0
"[사천시청] 7.21.(수) 14시 기준 확진자 1명(유증상자 1명) 발생▲의심 증상시 검사
 받으시고, 타지역 방문을 자제하여 주시기 바랍니다.",3,0,0,0,1,0,0
"[사하구청]코로나19백신/67~71년생 7.21.20시~7.24.18시/ 
 ncvr.kdca.go.kr /051-220-0000(평일09시~18시)예약바랍니다.",1,0,1,0,0,0,0
[진주시청] 7월18일(일) 12:37~13:10 서부촌국수(봉곡동) 가운데 테이블을 이용하신 4인가족은 보건소(055-749-6630)로 즉시 연락 바랍니다.,2,0,0,1,0,0,0
"[서울경찰청] 송파구에서 실종된 김영수씨(남, 73세)를 찾습니다 - 174cm, 80kg, 반팔회색티, 검정바지, 갈색모자
 vo.la/fnTC0 / ☎182",5,0,0,0,0,0,1
"[기장군]코로나19예방접종예약▲50~54세(67~71년):7.21.20시~7.24.18시(ncvr.kdca.go.kr) 콜센터1661-1777, 709-2800",1,0,1,0,0,0,0
[오산시청] 7월 21일 13시 기준 확진자 8명(600~607번) 발생. 자세한 내용은 pf.kakao.com/_ubxjxdxb를 참조하시기 바랍니다.,3,0,0,0,1,0,0
"[부산시]7.21(수)코로나확진107명(중3,서6,영도7,부산진14,동래7,남6,북1,해운대13,사하3,금정5,강서9,연제9,수영9,사상8,기장1,기타6)",3,0,0,0,1,0,0
[완도군청]7.20.(화) 검사한 금일읍주민 855명 음성입니다.▶임시선별진료소 안내: 미검사자 대상 7.22.(목)10:00~11:30 금일다목적문화복지관,0,1,0,0,0,0,0
"[음성군청]7.21.(수) 13시 기준 확진자 2명 발생 ▲동선 및 접촉자 역학조사 중▲
 확진자가 다수 발생하는 수도권 방문 및 지인 초청 자제 바랍니다.",3,0,0,0,1,0,0
[강릉시청]7.10(토) 23:00~23:52 경포 팔도강산(창해로 461)을 이용하신 분은 보건소 선별진료소(9:00~18:00) 방문하여 검사받으시기 바랍니다,2,0,0,1,0,0,0
[강릉시청]7.9(금) 00:03~00:33 홍돼지국밥(강릉대로 237)을 이용하신 분은 보건소 선별진료소(9:00~18:00) 방문하여 검사를 받으시기 바랍니다,2,0,0,1,0,0,0
"[김해시]7/17 17:50~18:40사상밀양돼지국밥(천곡로15번길47-11)에서 수육,소주(19,000현금)드신회색모자쓴남자분은 보건소(330-4481)상담바람",2,0,0,1,0,0,0
[부여군청] 7월21일 13시 기준 부여군 확진자 1명 발생(부여86) 수도권 방문 후 감염으로 추정 동선파악 및 역학조사 후 홈페이지 공개 예정,3,0,0,0,1,0,0
"[행정안전부] 폭염이 지속됨에 온열질환 예방을 위하여 외출을 자제하고 물 자주 마시기, 실외에서는 안전수칙(물, 그늘, 휴식) 준수 등 안전관리에 유의 바랍니다.",4,0,0,0,0,1,0
"[인제군청]우리 군 폭염 경보 발효 중. 물 충분히 마시기, 야외 활동 자제, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 건강관리에 유의 바랍니다.",4,0,0,0,0,1,0
[산청군청] 7월 21일 12시기준 확진자 1명(산청55번/자가격리중)발생 ▲산청읍1명 ▲ 5인이상 사적모임 자제하고 방역수칙 철저히 준수.,3,0,0,0,1,0,0
"[강릉시청]7.12(월) 04:00~06:03, 7.13(화) 04:10~05:55 마오마이 구)임창정의 모서리족발(솔올로 63) 이용자는 보건소 검사바랍니다.",2,0,0,1,0,0,0
[영동군청] 오늘 11:40 기준 확진자 1명 발생. 타 지역 거주자로 이동 동선 파악중입니다. 타 지역 방문 자제 및 유증상 시 선별진료소에서 검사바랍니다.,3,0,0,0,1,0,0
"[강릉시청]7.12(월) 01:00~02:30 테라스코노카페 코인노래연습장(경강로 2098)을 
 이용하신분들은 보건소 선별진료소(9:00~18:00) 검사바랍니다",2,0,0,1,0,0,0
"[강릉시청]7.10(토)~7.16(금) 인쌩맥주(솔올로 59, 교동)를 이용하신 분들은 보건소 선벌진료소(9:00~18:00)을 방문하여 검사를 받으시기 바랍니다",2,0,0,1,0,0,0
"[제주도]21일 0시 기준 확진자 34명 발생(누적확진1,530명,완치1,365명,사망1명,자가격리1,354명) covid19.jeju.go.kr/info.jsp",3,0,0,0,1,0,0
"[대전광역시] 7. 22.(목)부터 2주간 거리두기 3단계 적용. 사적모임 4인, 영업시간 22시, 실내외 마스크 착용은 의무입니다. 우리는 이겨낼 수 있습니다.",0,1,0,0,0,0,0
[서울시청] 07.21.(수) 00시 기준 서울시 신규 확진자 604명 발생. 자치구별 현황 및 동선 등은 bityl.co/6I7T 참고하시기 바랍니다. ☎120,3,0,0,0,1,0,0
"[당진시청]소상공인(만18~49세)예방접종안내
 ▲기간:7.22~23 10-16시
 ▲접수처:메일,방문(국민체육센터/시청1로30)
 ▲홈페이지참고 vo.la/JDFA3",1,0,1,0,0,0,0
[평택시] 7.10(토)~7.18(일) 지산동 소재 섬노래뱅크(두꺼비) 방문자는 가까운 선별진료소에서 검사 받으시길 바랍니다.,2,0,0,1,0,0,0
"[구미시청]관내 노래연습장 집합금지 행정명령 발령.
 '21.7.22(목) 0시 ~ 8.3(화) 24시
 기간내 노래연습장 이용시, 영업자 및 이용자 형사고발 조치",0,1,0,0,0,0,0
[금천구청] 금천구청 청사 내 확진자 발생으로 직원 전수검사 및 방역소독을 위해 21. 7. 21.(수) 11:00~18:00 금천구청 청사 출입을 제한합니다.,0,1,0,0,0,0,0
"[성남시청] 7월 21일 0시기준 신규확진자 36명(수정구 12, 중원구 5, 분당구 16, 타지역 3)이 발생하였습니다. corona.seongnam.go.kr",3,0,0,0,1,0,0
[성남시청] 7.12(월)~7.19(월) LH경기지역본부(분당구 구미동 175) 1층 판매고객센터 방문 유증상자는 가까운 선별진료소에서 코로나 진단검사 받으세요.,2,0,0,1,0,0,0
"[인천광역시청] 금일 폭염경보로 임시선별검사소 운영시간이 9~13시, 16~17시로 변경됩니다. 거주지 보건소는 21시까지 코로나19 검사가 가능하니 참고하세요.",0,1,0,0,0,0,0
"[김천시청] 오늘 10시 우리시 폭염경보 발효. 물 충분히 마시기, 외출자제, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",4,0,0,0,0,1,0
"[서산시청] 7월 21일 11시 기준 확진자 3명 발생(381~383번/자가격리 중 3)▲마스크 착용 의무 실내전체, 실외(2m 거리두기가 유지되지 않는 경우)",3,0,0,0,1,0,0
"[무주군청]7.21.(수)11시기준 코로나19 확진자 1명 발생(무주 22번, 자가격리 중 확진)/무주군 20, 21, 22번 접촉자 검사 결과 전원 음성입니다.",3,0,0,0,1,0,0
"[용인시청] 7월 21일 0시 기준 확진자 22명입니다. 기침, 발열 등 의심증상 발현시 가까운 선별진료소에서 검사 받으세요. corona.yongin.go.kr",3,0,0,0,1,0,0
[하남시청] 7/21(수) 10시 기준 신규 확진자 8명 발생. 블로그 및 홈페이지 참고하시기 바랍니다. c11.kr/qpgg,3,0,0,0,1,0,0
"[통영시청]7월21일 10시기준 확진자3명(통영114~115번,타지역관련/116번,확진자접촉)발생,역학조사 및 동선 파악중,확진자 현황은 시홈페이지 참고바랍니다.",3,0,0,0,1,0,0
"[진천군청] 7월 21일 10시 기준 확진자 1명 발생 (7.21 확진). 타지역 방문 자제, 마스크착용 등 방역수칙 준수 바랍니다.",3,0,0,0,1,0,0
[단양군청] 7.21.(수) 10:40 기준. 확진자 1명 발생. 역학조사 후 홈페이지에 동선 공개하겠습니다. 항상 마스크착용 등 방역수칙 준수 바랍니다.,3,0,0,0,1,0,0
"[천안시청] 확진자16명[조사중2, 타지역관련7, 관내접촉3, 유흥업소관련3, 격리중1] 7월3일 민주노총 서울집회 참석자는 반드시 진단검사를 받으시기 바랍니다.",3,0,0,0,1,0,0
[장성군청] 오늘 10시부로 우리지역에 폭염경보가 발령되었습니다. 수분을 충분히 섭취하고 야외활동 및 외출을 자제하시기 바랍니다.,4,0,0,0,0,1,0
"[아산시청]7월20일 확진자10명(가족6, 지인3, 해외1)/소상공인 사업주(종사자) 백신접종 신청안내 선착순 접수중 7월23일까지 url.kr/tovmgh",3,0,0,0,1,0,0
"[동두천시청] 7월 21일 0시 기준 일일 확진자 5명 발생(532~536번), 홈페이지 및 블로그 참고바랍니다. c11.kr/ddc21",3,0,0,0,1,0,0
"[청주시청] 7월20일 확진자 7명 발생(감염경로 조사중4, 격리중 확진3). ▲홈페이지 참조 ▲발열, 인후통 등 증상시 신속히 무료검사 ▲수도권 방문 자제",3,0,0,0,1,0,0
[합천군청]7월21일 코로나19확진자 1명 발생▲이동동선 및 접촉자 파악 중▲환가 및 노출장소 방역소독 실시 예정▲타지역 방문자제 및 방역수칙 준수 협조바랍니다.,3,0,0,0,1,0,0
"[전주시청]7.21(수) 현재기준 1명 발생(전일 5명 / corona.jeonju.go.kr)
 현재 거리두기 2단계(사적모임 4인까지), 방역수칙을 지켜주십시요",3,0,0,0,1,0,0
[완주군청] 7월 21일 0시 기준 확진자 1명 발생(대구 확진자 접촉) / 발생정보 pf.kakao.com/_dpxmcl 참고 /타지역 방문자제 및 방역수칙준수,3,0,0,0,1,0,0
[인천시] 코로나19 감염자 128명/일 최고치로 확산 중. 3밀(밀폐 밀집 밀접)환경을 피하고 감염증상 의심 시 신속히 보건소나 선별검사소에서 검사바랍니다.,3,0,0,0,1,0,0
"[대구광역시] 21일 0시 기준 확진자 36명 발생. 지역발생 34명(북구13,달서구10,수성구4,달성군3,중구1,서구1,남구1,구미시1), 해외유입 2명.",3,0,0,0,1,0,0
[정선군청] 정선읍 대박집식당(5일장길 37-5) 3호실을 7.17(토) 14:50~16:30 이용하신 분은 정선군보건소 선별진료소에서 코로나 검사바랍니다.,2,0,0,1,0,0,0
[곡성군청]금일10:00 곡성군 폭염경보 발효▲일체감온도34도이상▲충분한물섭취▲14~17시 야외활동자제▲무더위쉼터이용▲실외작업장 폭염안전수칙(물/그늘/휴식)지키기,4,0,0,0,0,1,0
"[수원시청] 7월 21일 10시 기준, 수원 확진자 35명 발생. 기침, 발열 등 의심증상 있으면 가까운 선별진료소에서 검사받으세요. me2.kr/7hk6u",3,0,0,0,1,0,0
"[임실군청] 임실군 확진자 1명 발생(7월20일 18:00경), 광주북구 주민이 임실 보건의료원 방문 검사결과 양성판정/지역감염 확산방지를 위해 개인방역수칙 준수",3,0,0,0,1,0,0
"[인천시] 7.21.(수) 코로나19 확진 128명(중16,동1,미추홀15,연수22,남동7,부평29,계양12,서25,강화1,옹진0) 군구홈페이지 참고바랍니다.",3,0,0,0,1,0,0
[창녕군청] 7.21(수) 확진자 1명 발생(창녕178 / 창녕177 접촉)▷마스크착용(백신접종자 포함)▷유증상시 코로나19 검사 받으시기 바랍니다.,3,0,0,0,1,0,0
[거창군청]7월21일 10시 기준 코로나19 확진자1명(타지역 근무중 확진자 접촉) 발생(거창51번) ▲어제 방송된 거창 변이바이러스 감염은 5~6월 확진자입니다,3,0,0,0,1,0,0
"[세종시청]7월21일 0시기준, 전일 확진자 6명(655~660번)발생. 확진자 관련(가족2, 접촉2), 논산군부대관련1, 조사중1. 자세한 사항 시홈페이지 참고",3,0,0,0,1,0,0
"[행정안전부] 오늘 10시00분 폭염경보, 최고 35도 이상, 야외활동 자제, 충분한 물마시기 등 건강에 유의바랍니다",4,0,0,0,0,1,0
"[진도군청]백신예약전화안내▶50세~59세(71년생~62년생)▶7.24.(토)까지 09시~18시▶보건소540-6001,6002,6005,6033,6906,6922번",1,0,1,0,0,0,0
"[포항시청]50~54세 코로나19 예방접종 사전예약 오늘(21일) 20시부터 24일까지 연령구분 없이 가능
 온라인(ncvr.kdca.go.kr), 전화(1339)",1,0,1,0,0,0,0
"[고양시청]7.20.(화) 일일 확진자21명(덕양구9,일산동구6,일산서구4,타지역거주2)타지역확진 고양시민3명 https://han.gl/iMmgw 참조바랍니다.",3,0,0,0,1,0,0
[창원시청] 7월 중 유흥시설·진해 맥주집 관련 코로나19 확진자 131명 발생. 최근 방문자·접촉자·종사자는 보건소에서 예약 후 검사를 받으시기 바랍니다.,3,0,0,0,1,0,0
